Device Name,Hostname,SysName,Reset Reason,Config Register,Type,Image Name,IP Address,Software Type,Software Version,Product ID,CBP Alerts,FN Vulnerable Alerts,Hardware EoX Alerts,PSIRT Vulnerable Alerts,Software Alerts
SITE27-AGG,SITE27-AGG,SITE27-AGG.net.com,PowerOn,null,Managed Multi-Chassis,CAT9K_IOSXE,192.168.230.124,IOS-XE,17.9.5,C9500-40X,19,3,4,5,1
SITE31-AGG,SITE31-AGG,SITE31-AGG.net.com,PowerOn,null,Managed Multi-Chassis,CAT9K_IOSXE,192.168.230.121,IOS-XE,17.9.5,C9500-40X,19,3,4,5,1
SITE64P-CUBE-R1,null,null,null,null,Managed Chassis,X86_64_LINUX_IOSD-UNIVERSALK9-M,192.168.230.15,Missing,Not Found,null,0,0,0,0,0
SITE18-93SW-STACK-01,SITE18-93SW-STACK-01,SITE18-93SW-STACK-01.net.com,stack merge due to incompatiblity,null,Managed Multi-Chassis,CAT9K_IOSXE,192.168.207.11,IOS-XE,17.9.4a,C9300-48UXM,22,3,0,7,1
SITE20-2E-SW-01,SITE20-2E-SW-01,SITE20-2E-SW-01.net.com,LocalSoft,null,Managed Chassis,CAT9K_IOSXE,192.168.230.124,IOS-XE,17.9.4a,C9410R,21,2,2,5,1
SITE20-3W-SOC-AV-SW-01,SITE20-3W-SOC-AV-SW-01,SITE20-3W-SOC-AV-SW-01.net.com,power-on,0xF,Managed Chassis,C3560CX-UNIVERSALK9-M,192.168.230.170,IOS,15.2(7)E7,WS-C3560CX-12PC-S,19,2,1,3,0
SITE20-3W-SW-01,SITE20-3W-SW-01,SITE20-3W-SW-01.net.com,LocalSoft,null,Managed Chassis,CAT9K_IOSXE,192.168.230.125,IOS-XE,17.9.4a,C9410R,26,2,2,6,1
SITE20-3W-SW-02,SITE20-3W-SW-02,SITE20-3W-SW-02.net.com,LocalSoft,null,Managed Chassis,CAT9K_IOSXE,192.168.230.126,IOS-XE,17.9.4a,C9410R,27,2,2,6,1
SITE20-IPTV-SW-01,SITE20-IPTV-SW-01,SITE20-IPTV-SW-01.net.com,Reload Command,null,Managed Chassis,CAT9K_IOSXE,192.168.230.204,IOS-XE,17.9.4a,C9300-48UXM,17,3,0,6,1
SITE20-MGMT-SW-01,SITE20-MGMT-SW-01,SITE20-MGMT-SW-01.net.com,Image Install ReloadReason=Image Install,null,Managed Chassis,CAT9K_IOSXE,192.168.230.200,IOS-XE,17.9.4a,C9300-48UXM,20,3,0,7,1
SITE20-MGMT-SW-03,SITE20-MGMT-SW-03,SITE20-MGMT-SW-03.net.com,Image Install ReloadReason=Image Install,null,Managed Chassis,CAT9K_IOSXE,192.168.230.202,IOS-XE,17.9.4a,C9300-48UXM,18,3,0,7,1
SITE20-MGMT-SW-04,SITE20-MGMT-SW-04,SITE20-MGMT-SW-04.net.com,Image Install ReloadReason=Image Install,null,Managed Chassis,CAT9K_IOSXE,192.168.230.203,IOS-XE,17.9.4a,C9300-48UXM,19,3,0,7,1
SITE24-AV-9200-SW-01,SITE24-AV-9200-SW-01,SITE24-AV-9200-SW-01.net.com,Power Failure or Unknown,0x102,Managed Chassis,CAT9K_LITE_IOSXE,192.168.230.24,IOS-XE,17.9.4a,C9200L-24P-4X,20,3,0,4,1
SITE25-1ST-93SW-STACK-01,SITE25-1ST-93SW-STACK-01,SITE25-1ST-93SW-STACK-01.net.com,Install,null,Managed Multi-Chassis,CAT9K_IOSXE,192.168.230.11,IOS-XE,17.9.5,C9300-48UXM,22,3,0,6,1
SITE29-3RD-94SW-02,SITE29-3RD-94SW-02,SITE29-3RD-94SW-02.net.com,PowerOn,null,Managed Chassis,CAT9K_IOSXE,192.168.230.219,IOS-XE,17.9.5,C9410R,24,2,2,5,1
SITE29-5th-94SW-01,SITE29-5th-94SW-01,SITE29-5th-94SW-01.net.com,PowerOn,null,Managed Chassis,CAT9K_IOSXE,192.168.230.50,IOS-XE,17.9.5,C9410R,24,2,2,5,1
SITE29-5th-94SW-02,SITE29-5th-94SW-02,SITE29-5th-94SW-02.net.com,PowerOn,null,Managed Chassis,CAT9K_IOSXE,192.168.230.51,IOS-XE,17.9.5,C9410R,22,2,2,5,1
SITE31-3RD-AV-LAB-SW-01,SITE31-3RD-AV-LAB-SW-01,SITE31-3RD-AV-LAB-SW-01.net.com,power-on,0xF,Managed Chassis,C3560CX-UNIVERSALK9-M,192.168.230.221,IOS,15.2(7)E7,WS-C3560CX-12PC-S,20,2,1,3,0
SITE42P-CUBE-01,SITE42P-CUBE-01,SITE42P-CUBE-01.net.com,PowerOn,0x2102,Managed Chassis,X86_64_LINUX_IOSD-UNIVERSALK9-M,192.168.12.50,IOS-XE,16.12.4,ISR4431/K9,28,4,3,9,1
SITE43-INF-SW-01,SITE43-INF-SW-01,SITE43-INF-SW-01.net.com,PowerOn,null,Managed Chassis,CAT9K_IOSXE,192.168.23.100,IOS-XE,17.9.5,C9300-48UXM,23,3,2,6,1
SITE44-INF-SW-01,SITE44-INF-SW-01,SITE44-INF-SW-01.net.com,Reload Command,null,Managed Chassis,CAT9K_IOSXE,192.168.25.100,IOS-XE,17.9.5,C9300-48UXM,19,3,1,6,1
SITE66-23RD-93SW-01,SITE66-23RD-93SW-01,SITE66-23RD-93SW-01.net.com,PowerOn,null,Managed Multi-Chassis,CAT9K_IOSXE,192.168.222.13,IOS-XE,17.9.5,C9300-48UXM,22,3,0,6,1
192.168.111.11,TOK-20TH-93SW-01,TOK-20TH-93SW-01.net.com,PowerOn,null,Managed Multi-Chassis,CAT9K_IOSXE,192.168.111.11,IOS-XE,17.9.5,C9300-48UXM,18,3,0,6,1
SITE01-2ND-93SW-01,SITE01-2ND-93SW-01,SITE01-2ND-93SW-01.net.com,PowerOn,null,Managed Multi-Chassis,CAT9K_IOSXE,192.168.94.13,IOS-XE,17.6.4,C9300-48UXM,22,3,0,9,1
SITE01-2ND-94SW-01,SITE01-2ND-94SW-01,SITE01-2ND-94SW-01.net.com,PowerOn,null,Managed Chassis,CAT9K_IOSXE,192.168.94.11,IOS-XE,17.6.4,C9410R,26,3,2,8,1
SITE01-2ND-CORE-95SW-01,SITE01-2ND-CORE-95SW-01,SITE01-2ND-CORE-95SW-01.net.com,PowerOn,null,Managed Multi-Chassis,CAT9K_IOSXE,192.168.94.10,IOS-XE,17.6.4,C9500-40X,21,4,5,8,1
SITE01-3RD-94SW-01,SITE01-3RD-94SW-01,SITE01-3RD-94SW-01.net.com,PowerOn,null,Managed Chassis,CAT9K_IOSXE,192.168.94.12,IOS-XE,17.6.4,C9410R,23,3,2,8,1
SITE02-13TH-94SW-01,SITE02-13TH-94SW-01,SITE02-13TH-94SW-01.net.com,Reload Command,null,Managed Chassis,CAT9K_IOSXE,192.168.126.11,IOS-XE,17.9.5,C9410R,19,2,3,5,1
SITE03-INF-SW-01,null,null,null,null,Managed Chassis,CAT9K_IOSXE,192.168.13.100,Missing,Not Found,null,0,0,0,0,0
SITE04-INF-SW01,SITE04-INF-SW01,SITE04-INF-SW01.net.com,PowerOn,null,Managed Chassis,CAT9K_IOSXE,192.168.17.100,IOS-XE,17.9.5,C9300-48UXM,23,3,1,6,1
SITE05-1ST-93SW-01,SITE05-1ST-93SW-01,SITE05-1ST-93SW-01.net.com,PowerOn,null,Managed Multi-Chassis,CAT9K_IOSXE,192.168.79.11,IOS-XE,17.9.5,C9300-48UXM,20,3,1,6,1
SITE06-10TH-SW-01,SITE06-10TH-SW-01,SITE06-10TH-SW-01.net.com,LocalSoft,null,Managed Chassis,CAT9K_IOSXE,192.168.30.11,IOS-XE,17.9.5,C9410R,24,2,2,5,1
SITE06-9TH-94SW-01,SITE06-9TH-94SW-01,SITE06-9TH-94SW-01.net.com,LocalSoft,null,Managed Chassis,CAT9K_IOSXE,192.168.30.12,IOS-XE,17.9.5,C9410R,22,2,2,5,1
SITE07-INF-93SW-01,SITE07-INF-93SW-01,SITE07-INF-93SW-01.net.com,PowerOn,null,Managed Chassis,CAT9K_IOSXE,192.168.19.100,IOS-XE,17.9.5,C9300-48UXM,23,3,0,6,1
SITE08-INF-93SW-01,SITE08-INF-93SW-01,SITE08-INF-93SW-01.net.com,PowerOn,null,Managed Chassis,CAT9K_IOSXE,192.168.21.100,IOS-XE,17.9.5,C9300-48UXM,22,3,2,6,1
SITE09-INF-SW01,SITE09-INF-SW01,SITE09-INF-SW01.net.com,PowerOn,null,Managed Chassis,CAT9K_IOSXE,192.168.31.11,IOS-XE,17.9.4a,C9500-16X,20,3,5,5,1
SITE09-INF-SW02,SITE09-INF-SW02,SITE09-INF-SW02.net.com,PowerOn,null,Managed Chassis,CAT9K_IOSXE,192.168.31.12,IOS-XE,17.9.4a,C9500-16X,19,3,4,4,1
SITE10-DIA-01,null,null,Reload Command,0x2102,Managed Chassis,X86_64_LINUX_IOSD-UNIVERSALK9-M,192.168.230.12,Missing,Not Found,null,0,0,0,0,0
SITE10-DIA-02,null,null,Reload Command,0x2102,Managed Chassis,X86_64_LINUX_IOSD-UNIVERSALK9-M,192.168.230.13,Missing,Not Found,null,0,0,0,0,0
SITE10-INET-SW01,null,null,PowerOn,null,Managed Chassis,CAT9K_IOSXE,192.168.230.10,Missing,Not Found,null,0,0,0,0,0
SITE10-INET-SW02,null,null,PowerOn,null,Managed Chassis,CAT9K_IOSXE,192.168.230.11,Missing,Not Found,null,0,0,0,0,0
SITE10-MGMT-SW01,null,null,Install,null,Managed Chassis,CAT9K_IOSXE,192.168.230.239,Missing,Not Found,null,0,0,0,0,0
SITE10-N9K-SW01,null,null,Module PowerCycled,null,Managed Chassis,nxos.9.3.12,192.168.230.251,Missing,Not Found,null,0,0,0,0,0
SITE10-N9K-SW02,null,null,Unknown,null,Managed Chassis,nxos.9.3.12,192.168.230.252,Missing,Not Found,null,0,0,0,0,0
SITE11-1ST-CORE-95SW-01,SITE11-1ST-CORE-95SW-01,SITE11-1ST-CORE-95SW-01.net.com,ISSU,null,Managed Multi-Chassis,CAT9K_IOSXE,192.168.94.201,IOS-XE,17.9.5,C9500-40X,18,3,8,4,1
SITE11-1ST-IDF-94SW-01,SITE11-1ST-IDF-94SW-01,SITE11-1ST-IDF-94SW-01.net.com,PowerOn,null,Managed Chassis,CAT9K_IOSXE,192.168.94.222,IOS-XE,17.9.5,C9410R,23,2,2,5,1
SITE11-1ST-MDF-94SW-01,SITE11-1ST-MDF-94SW-01,SITE11-1ST-MDF-94SW-01.net.com,Reload Command,null,Managed Chassis,CAT9K_IOSXE,192.168.94.221,IOS-XE,17.9.5,C9410R,25,2,2,5,1
SITE11-3RD-93SW-01,SITE11-3RD-93SW-01,SITE11-3RD-93SW-01.net.com,Image Install,null,Managed Multi-Chassis,CAT9K_IOSXE,192.168.94.223,IOS-XE,17.9.5,C9300-48UXM,21,3,0,6,1
SITE11-3RD-IDF-94SW-01,SITE11-3RD-IDF-94SW-01,SITE11-3RD-IDF-94SW-01.net.com,LocalSoft,null,Managed Chassis,CAT9K_IOSXE,192.168.94.224,IOS-XE,17.9.5,C9410R,23,2,2,5,1
SITE12-3RD-93SW-01,SITE12-3RD-93SW-01,SITE12-3RD-93SW-01.net.com,Install,null,Managed Multi-Chassis,CAT9K_IOSXE,192.168.223.11,IOS-XE,17.9.5,C9300-48UXM,21,3,0,5,1
SITE13-22ND-94SW-01,SITE13-22ND-94SW-01,SITE13-22ND-94SW-01.net.com,LocalSoft,null,Managed Chassis,CAT9K_IOSXE,192.168.191.11,IOS-XE,17.9.5,C9410R,23,2,3,5,1
SITE14-6TH-93SW-01,SITE14-6TH-93SW-01,SITE14-6TH-93SW-01.net.com,PowerOn,null,Managed Multi-Chassis,CAT9K_IOSXE,192.168.47.11,IOS-XE,17.9.5,C9300-48UXM,21,3,1,6,1
SITE15-2ND-94SW-01,SITE15-2ND-94SW-01,SITE15-2ND-94SW-01.net.com,LocalSoft,null,Managed Chassis,CAT9K_IOSXE,192.168.15.11,IOS-XE,17.9.4a,C9410R,25,2,3,6,1
SITE16-21ST-94SW-01,SITE16-21ST-94SW-01,SITE16-21ST-94SW-01.net.com,LocalSoft,null,Managed Chassis,CAT9K_IOSXE,192.168.127.13,IOS-XE,17.9.5,C9410R,23,2,2,5,1
SITE16-23RD-94SW-01,SITE16-23RD-94SW-01,SITE16-23RD-94SW-01.net.com,LocalSoft,null,Managed Chassis,CAT9K_IOSXE,192.168.127.11,IOS-XE,17.9.5,C9410R,25,2,2,5,1
SITE16-23RD-CORE-SW-01,SITE16-23RD-CORE-SW-01,SITE16-23RD-CORE-SW-01.net.com,ISSU,null,Managed Multi-Chassis,CAT9K_IOSXE,192.168.127.10,IOS-XE,17.9.5,C9500-40X,22,3,7,5,1
SITE17-6TH-94SW-01,SITE17-6TH-94SW-01,SITE17-6TH-94SW-01.net.com,LocalSoft,null,Managed Chassis,CAT9K_IOSXE,192.168.94.11,IOS-XE,17.9.5,C9410R,24,2,2,5,1
SITE19-1ST-94SW-01,SITE19-1ST-94SW-01,SITE19-1ST-94SW-01.net.com,Reload Command,null,Managed Chassis,CAT9K_IOSXE,192.168.94.11,IOS-XE,17.9.5,C9410R,19,2,2,4,1
SITE19-2ND-94SW-01,SITE19-2ND-94SW-01,SITE19-2ND-94SW-01.net.com,Reload Command,null,Managed Chassis,CAT9K_IOSXE,192.168.94.12,IOS-XE,17.9.5,C9410R,19,2,2,4,1
SITE19-3RD-93SW-02,SITE19-3RD-93SW-02,SITE19-3RD-93SW-02.net.com,Reload Command,null,Managed Multi-Chassis,CAT9K_IOSXE,192.168.94.17,IOS-XE,17.9.5,C9300-48UXM,18,3,0,5,1
SITE19-3RD-94SW-01,SITE19-3RD-94SW-01,SITE19-3RD-94SW-01.net.com,LocalSoft,null,Managed Chassis,CAT9K_IOSXE,192.168.94.13,IOS-XE,17.9.5,C9410R,21,2,2,5,1
SITE19-5TH-94SW-01,SITE19-5TH-94SW-01,SITE19-5TH-94SW-01.net.com,Reload Command,null,Managed Chassis,CAT9K_IOSXE,192.168.94.15,IOS-XE,17.9.5,C9410R,19,2,2,4,1
SITE19-CORE-SW-01,SITE19-CORE-SW-01,SITE19-CORE-SW-01.net.com,ISSU,null,Managed Multi-Chassis,CAT9K_IOSXE,192.168.94.10,IOS-XE,17.9.5,C9500-40X,20,3,4,5,1
SITE19-MGMT-SW-01,SITE19-MGMT-SW-01,SITE19-MGMT-SW-01.net.com,Reload Command,null,Managed Chassis,CAT9K_IOSXE,192.168.94.8,IOS-XE,17.9.5,C9300-48UXM,20,3,0,6,1
SITE19-MGMT-SW-02,SITE19-MGMT-SW-02,SITE19-MGMT-SW-02.net.com,"Critical process fman_fp_image fault on fp_0_0 (rc=134), system report at /crashinfo/DOC-MGMT-SW-02_1_RP_0-system-report_1_20250607-164139-UTC.tar.gz",null,Managed Chassis,CAT9K_IOSXE,192.168.94.9,IOS-XE,17.9.5,C9300-48UXM,20,3,0,6,1
SITE20-1E-SW-01,SITE20-1E-SW-01,SITE20-1E-SW-01.net.com,LocalSoft,null,Managed Chassis,CAT9K_IOSXE,192.168.230.121,IOS-XE,17.9.4a,C9410R,24,2,2,6,1
SITE20-1W-SW-01,SITE20-1W-SW-01,SITE20-1W-SW-01.net.com,LocalSoft,null,Managed Chassis,CAT9K_IOSXE,192.168.230.122,IOS-XE,17.9.4a,C9410R,28,2,2,6,1
SITE20-2W-SW-01,SITE20-2W-SW-01,SITE20-2W-SW-01.net.com,LocalSoft,null,Managed Chassis,CAT9K_IOSXE,192.168.230.123,IOS-XE,17.9.4a,C9410R,28,2,2,6,1
SITE20-4W-SW-01,SITE20-4W-SW-01,SITE20-4W-SW-01.net.com,LocalSoft,null,Managed Chassis,CAT9K_IOSXE,192.168.230.127,IOS-XE,17.9.4a,C9410R,26,2,2,6,1
SITE20-4W-SW-02,SITE20-4W-SW-02,SITE20-4W-SW-02.net.com,LocalSoft,null,Managed Chassis,CAT9K_IOSXE,192.168.230.128,IOS-XE,17.9.4a,C9410R,26,2,2,6,1
SITE20-5W-SW-01,SITE20-5W-SW-01,SITE20-5W-SW-01.net.com,LocalSoft,null,Managed Chassis,CAT9K_IOSXE,192.168.230.129,IOS-XE,17.9.4a,C9410R,25,2,2,6,1
SITE20-5W-SW-02,SITE20-5W-SW-02,SITE20-5W-SW-02.net.com,LocalSoft,null,Managed Chassis,CAT9K_IOSXE,192.168.230.130,IOS-XE,17.9.4a,C9410R,26,2,2,6,1
SITE20-6TH-93SW-01,SITE20-6TH-93SW-01,SITE20-6TH-93SW-01.net.com,Reload Command,null,Managed Multi-Chassis,CAT9K_IOSXE,192.168.230.131,IOS-XE,17.9.4a,C9300-48UXM,19,3,0,6,1
SITE20-BUILD-93SW-01,SITE20-BUILD-93SW-01,SITE20-BUILD-93SW-01.net.com,Reload Command,null,Managed Chassis,CAT9K_IOSXE,192.168.230.237,IOS-XE,17.9.4a,C9300-48UXM,15,3,0,6,1
SITE20-CORE-SW-01,SITE20-CORE-SW-01,SITE20-CORE-SW-01.net.com,Image Install,null,Managed Multi-Chassis,CAT9K_IOSXE,192.168.230.11,IOS-XE,17.9.4a,C9500-40X,24,3,5,6,1
SITE20-DIA-01,SITE20-DIA-01,SITE20-DIA-01.net.com,PowerOn,0x2102,Managed Chassis,asr1001x-universalk9,192.168.230.23,IOS-XE,17.6.6a,ASR1001-X,21,6,2,5,1
SITE20-DIA-02,SITE20-DIA-02,SITE20-DIA-02.net.com,PowerOn,0x2102,Managed Chassis,asr1001x-universalk9,192.168.230.24,IOS-XE,17.6.6a,ASR1001-X,21,6,2,5,1
SITE20-GND-MOSAIC-SW01,SITE20-GND-MOSAIC-SW01,SITE20-GND-MOSAIC-SW01.net.com,Reload command,0xF,Managed Chassis,C3560CX-UNIVERSALK9-M,192.168.230.172,IOS,15.2(7)E7,WS-C3560CX-12PC-S,23,2,1,3,0
SITE20-GND-SW-01,SITE20-GND-SW-01,SITE20-GND-SW-01.net.com,Reload Command,null,Managed Chassis,CAT9K_IOSXE,192.168.230.119,IOS-XE,17.9.4a,C9410R,19,2,2,5,1
SITE20-INET-SW01,SITE20-INET-SW01,SITE20-INET-SW01.net.com,Install,null,Managed Chassis,CAT9K_IOSXE,192.168.230.8,IOS-XE,17.9.5,C9300X-24Y,18,3,2,6,1
SITE20-INET-SW02,SITE20-INET-SW02,SITE20-INET-SW02.net.com,Install,null,Managed Chassis,CAT9K_IOSXE,192.168.230.9,IOS-XE,17.9.5,C9300X-24Y,16,3,2,6,1
SITE20-MGMT-SW-02,SITE20-MGMT-SW-02,SITE20-MGMT-SW-02.net.com,Image Install ReloadReason=Image Install,null,Managed Chassis,CAT9K_IOSXE,192.168.230.201,IOS-XE,17.9.4a,C9300-48UXM,18,3,0,7,1
SITE20-SERVER-SW-01,SITE20-SERVER-SW-01,SITE20-SERVER-SW-01.net.com,Power Down/UP epld upgrade process,null,Managed Chassis,nxos64-cs.10.3.6.M,192.168.230.27,NX-OS,10.3(6),N9K-C93180YC-FX,20,0,4,4,1
SITE20-SERVER-SW-02,SITE20-SERVER-SW-02,SITE20-SERVER-SW-02.net.com,Power Down/UP epld upgrade process,null,Managed Chassis,nxos64-cs.10.3.6.M,192.168.230.28,NX-OS,10.3(6),N9K-C93180YC-FX,20,0,3,4,1
SITE20-VG4431-CUBE-01,SITE20-VG4431-CUBE-01,SITE20-VG4431-CUBE-01.net.com,PowerOn,0x2102,Managed Chassis,X86_64_LINUX_IOSD-UNIVERSALK9-M,192.168.230.215,IOS-XE,17.6.5a,ISR4431/K9,25,4,3,5,1
SITE21-INF-SW-01,SITE21-INF-SW-01,SITE21-INF-SW-01.net.com,PowerOn,null,Managed Chassis,CAT9K_IOSXE,192.168.27.100,IOS-XE,17.9.3,C9300-48UXM,24,3,0,7,1
SITE22-INF-SW-01,SITE22-INF-SW-01,SITE22-INF-SW-01.net.com,PowerOn,null,Managed Chassis,CAT9K_IOSXE,192.168.33.100,IOS-XE,17.9.3,C9300-48UXM,25,3,2,8,1
SITE23-33RD-93SW-01,SITE23-33RD-93SW-01,SITE23-33RD-93SW-01.net.com,Install,null,Managed Multi-Chassis,CAT9K_IOSXE,192.168.127.11,IOS-XE,17.9.5,C9300-48P,22,3,1,6,1
SITE24-1E-94SW-01,null,null,LocalSoft,null,Managed Chassis,CAT9K_IOSXE,192.168.230.12,Missing,Not Found,null,0,0,0,0,0
SITE24-1W-94SW-01,SITE24-1W-94SW-01,SITE24-1W-94SW-01.net.com,PowerOn,null,Managed Chassis,CAT9K_IOSXE,192.168.230.11,IOS-XE,17.9.5,C9410R,25,2,2,5,1
SITE24-2E-94SW-01,SITE24-2E-94SW-01,SITE24-2E-94SW-01.net.com,PowerOn,null,Managed Chassis,CAT9K_IOSXE,192.168.230.22,IOS-XE,17.9.5,C9410R,23,2,2,5,1
SITE24-2ND-TOP-93SW-01,SITE24-2ND-TOP-93SW-01,SITE24-2ND-TOP-93SW-01.net.com,PowerOn,null,Managed Multi-Chassis,CAT9K_IOSXE,192.168.230.13,IOS-XE,17.9.5,C9300-48UXM,17,3,0,6,1
SITE24-2W-94SW-01,SITE24-2W-94SW-01,SITE24-2W-94SW-01.net.com,PowerOn,null,Managed Chassis,CAT9K_IOSXE,192.168.230.21,IOS-XE,17.9.5,C9410R,26,2,2,5,1
SITE24-3E-94SW-01,SITE24-3E-94SW-01,SITE24-3E-94SW-01.net.com,PowerOn,null,Managed Chassis,CAT9K_IOSXE,192.168.230.32,IOS-XE,17.9.5,C9410R,24,2,2,5,1
SITE24-3W-94SW-01,SITE24-3W-94SW-01,SITE24-3W-94SW-01.net.com,PowerOn,null,Managed Chassis,CAT9K_IOSXE,192.168.230.31,IOS-XE,17.9.5,C9410R,22,2,2,5,1
SITE24-4E-94SW-01,SITE24-4E-94SW-01,SITE24-4E-94SW-01.net.com,PowerOn,null,Managed Chassis,CAT9K_IOSXE,192.168.230.42,IOS-XE,17.9.5,C9410R,24,2,2,5,1
